1378385076.898032, 502, 35, 0.015593
1378385076.902889, 518, 613, 0.004857
1378385076.907175, 523, 975, 0.004286
1378385076.911568, 501, 573, 0.004393
1378385076.915956, 499, 68, 0.004388
1378385076.920352, 508, 244, 0.004396
1378385076.924727, 523, 837, 0.004375
1378385076.929040, 510, 912, 0.004313
1378385076.933367, 501, 324, 0.004327
1378385076.937740, 507, 34, 0.004373
1378385076.942099, 520, 516, 0.004359
1378385076.946446, 521, 971, 0.004347
1378385076.950881, 503, 684, 0.004435
1378385076.955185, 504, 124, 0.004304
1378385076.959582, 512, 149, 0.004397
1378385076.963816, 522, 752, 0.004234
1378385076.968037, 520, 974, 0.004221
1378385076.972741, 500, 455, 0.004704
1378385076.977058, 499, 35, 0.004317
1378385076.981400, 528, 414, 0.004342
1378385076.985677, 501, 924, 0.004277
1378385076.990010, 510, 808, 0.004333
1378385076.994368, 519, 210, 0.004358
1378385076.998696, 504, 54, 0.004328
1378385077.003057, 524, 634, 0.004361
1378385077.007454, 534, 975, 0.004397
1378385077.011756, 516, 538, 0.004302
1378385077.016038, 499, 58, 0.004282
1378385077.020445, 513, 255, 0.004407
1378385077.024781, 530, 847, 0.004336
1378385077.029210, 510, 910, 0.004429
1378385077.033533, 505, 312, 0.004323
1378385077.037881, 503, 34, 0.004348
1378385077.042125, 520, 530, 0.004244
1378385077.046324, 519, 969, 0.004199
1378385077.050649, 503, 710, 0.004325
1378385077.055049, 499, 147, 0.004400
1378385077.059375, 512, 130, 0.004326
1378385077.063709, 523, 717, 0.004334
1378385077.068033, 522, 975, 0.004324
1378385077.072376, 494, 460, 0.004343
1378385077.076780, 502, 37, 0.004404
1378385077.081108, 521, 367, 0.004328
1378385077.085381, 529, 901, 0.004273
1378385077.089700, 516, 847, 0.004319
1378385077.094093, 502, 248, 0.004393
1378385077.098417, 504, 37, 0.004324
1378385077.102904, 515, 603, 0.004487
1378385077.107172, 523, 974, 0.004268
1378385077.111464, 508, 587, 0.004292
1378385077.115773, 500, 82, 0.004309
1378385077.120140, 515, 207, 0.004367
1378385077.124425, 520, 810, 0.004285
1378385077.128742, 509, 950, 0.004317
1378385077.133064, 510, 377, 0.004322
1378385077.137326, 502, 35, 0.004262
1378385077.142618, 514, 445, 0.005292
1378385077.146960, 519, 974, 0.004342
1378385077.151324, 505, 620, 0.004364
1378385077.155674, 486, 93, 0.004350
1378385077.159994, 525, 193, 0.004320
1378385077.164311, 523, 790, 0.004317
1378385077.168723, 528, 961, 0.004412
1378385077.173064, 494, 380, 0.004341
1378385077.177354, 505, 35, 0.004290
1378385077.181720, 520, 447, 0.004366
1378385077.186017, 512, 945, 0.004297
1378385077.190478, 504, 774, 0.004461
1378385077.194805, 499, 166, 0.004327
1378385077.199203, 515, 95, 0.004398
1378385077.203583, 523, 690, 0.004380
1378385077.207896, 514, 975, 0.004313
1378385077.212086, 508, 487, 0.004190
1378385077.216236, 493, 42, 0.004150
1378385077.220496, 524, 274, 0.004260
1378385077.224871, 525, 845, 0.004375
1378385077.229223, 514, 907, 0.004352
1378385077.233591, 510, 320, 0.004368
1378385077.237902, 507, 35, 0.004311
1378385077.242253, 518, 523, 0.004351
1378385077.246662, 523, 970, 0.004409
1378385077.250982, 511, 672, 0.004320
1378385077.255334, 499, 124, 0.004352
1378385077.259648, 514, 151, 0.004314
1378385077.263918, 527, 745, 0.004270
1378385077.268198, 526, 975, 0.004280
1378385077.272634, 504, 442, 0.004436
1378385077.276963, 510, 37, 0.004329
1378385077.281211, 505, 381, 0.004248
1378385077.285559, 533, 904, 0.004348
1378385077.289916, 518, 835, 0.004357
1378385077.294263, 514, 232, 0.004347
1378385077.298760, 505, 40, 0.004497
1378385077.303132, 514, 627, 0.004372
1378385077.307407, 516, 975, 0.004275
1378385077.311749, 495, 561, 0.004342
1378385077.316019, 501, 67, 0.004270
1378385077.320405, 512, 229, 0.004386
1378385077.324807, 524, 830, 0.004402
1378385077.329197, 515, 920, 0.004390
1378385077.333479, 498, 330, 0.004282
1378385077.337745, 502, 34, 0.004266
1378385077.342072, 520, 495, 0.004327
1378385077.346399, 523, 965, 0.004327
1378385077.350780, 505, 721, 0.004381
1378385077.355087, 501, 146, 0.004307
1378385077.359415, 515, 121, 0.004328
1378385077.363743, 523, 709, 0.004328
1378385077.368037, 520, 975, 0.004294
1378385077.372631, 504, 440, 0.004594
1378385077.376927, 505, 37, 0.004296
1378385077.381359, 518, 370, 0.004432
1378385077.385648, 529, 912, 0.004289
1378385077.390049, 485, 830, 0.004401
1378385077.394392, 508, 223, 0.004343
1378385077.398737, 504, 44, 0.004345
1378385077.403103, 528, 620, 0.004366
1378385077.407417, 523, 975, 0.004314
1378385077.411713, 504, 568, 0.004296
1378385077.416090, 501, 73, 0.004377
1378385077.420437, 512, 238, 0.004347
1378385077.424879, 526, 831, 0.004442
1378385077.429300, 504, 916, 0.004421
1378385077.433641, 517, 321, 0.004341
1378385077.438005, 509, 34, 0.004364
1378385077.442374, 511, 525, 0.004369
1378385077.446766, 520, 971, 0.004392
1378385077.451126, 505, 670, 0.004360
1378385077.455496, 502, 118, 0.004370
1378385077.459911, 512, 161, 0.004415
1378385077.464081, 524, 767, 0.004170
1378385077.468330, 513, 974, 0.004249
1378385077.472715, 506, 435, 0.004385
1378385077.476985, 502, 37, 0.004270
1378385077.481355, 517, 372, 0.004370
1378385077.485640, 498, 908, 0.004285
1378385077.490010, 517, 835, 0.004370
1378385077.494380, 496, 232, 0.004370
1378385077.498736, 504, 41, 0.004356
1378385077.503100, 518, 616, 0.004364
